1,1,0,28.00004
1,2,0,28.00004
1,3,0,23.00003
1,4,199.0646,0.0
1,5,295.4357,0.0
1,6,199.9997,0.0
1,7,265.4999,0.0
1,8,0,23.00004
1,9,0,99.0
1,10,0,143.0
1,11,0,171.0
1,12,0,174.0
1,13,0,208.0
1,14,0,230.0
1,15,0,226.9999
2,1,0,0.0
2,2,178.9579,0.0
2,3,140.6758,-1.211137e-05
2,4,83.25897,-4.091527e-05
2,5,97.06535,-4.091527e-05
2,6,6.640455e-05,1.999959
2,7,1.320353e-05,9.899959
2,8,299.9999,0.0
2,9,1.604899e-06,75.99996
2,10,9.669138e-07,120.0
2,11,7.581938e-07,148.0
2,12,7.649639e-07,151.0
2,13,5.9558e-07,185.0
2,14,5.032122e-07,207.0
2,15,5.125899e-07,203.9998
3,1,2.660464e-05,5.000041
3,2,2.607091e-05,5.000041
3,3,148.5907,2.880391e-05
3,4,86.00413,0.0
3,5,101.4051,0.0
3,6,6.651963e-05,2.0
3,7,1.319686e-05,9.9
3,8,2.622879e-05,5.000041
3,9,663.9999,0.0
3,10,2.511953e-06,50.00003
3,11,1.561019e-06,78.00003
3,12,1.585543e-06,81.00003
3,13,1.057582e-06,115.0
3,14,8.299054e-07,137.0
3,15,8.514719e-07,133.9999
4,1,8.890397e-06,15.00001
4,2,8.761962e-06,15.00001
4,3,8.804055e-06,15.0
4,4,8.802012e-06,14.99997
4,5,8.799847e-06,14.99997
4,6,7.631489e-06,16.99997
4,7,4.952673e-06,24.89997
4,8,8.792683e-06,15.00001
4,9,8.187982e-06,15.99997
4,10,1.400215e-05,10.0
4,11,5.444225e-06,23.0
4,12,5.766076e-06,26.0
4,13,1.862827e-06,60.0
4,14,1.08721e-06,82.0
4,15,1.149789e-06,78.99985
5,1,2.656215e-05,5.000012
5,2,2.57222e-05,5.000012
5,3,218.7335,0.0
5,4,99.70217,-2.880391e-05
5,5,121.564,-2.880391e-05
5,6,6.565479e-05,1.999971
5,7,1.312753e-05,9.899971
5,8,2.590291e-05,5.000012
5,9,2.167907e-05,5.999971
5,10,197.8062,0.0
5,11,414.9999,0.0
5,12,1.908541e-05,11.0
5,13,2.747069e-06,50.0
5,14,1.838253e-06,67.0
5,15,1.930496e-06,63.99985
6,1,1.277783e-05,10.00001
6,2,1.2517e-05,10.00001
6,3,2.558325e-05,5.0
6,4,2.566633e-05,4.999971
6,5,2.563954e-05,4.999971
6,6,1.817468e-05,6.999971
6,7,8.288024e-06,14.89997
6,8,1.25758e-05,10.00001
6,9,2.125013e-05,5.999971
6,10,153.1938,0.0
6,11,9.627025e-06,13.0
6,12,86.00005,0.0
6,13,332.9999,0.0
6,14,621.0,0.0
6,15,165.0,-0.0001500908
7,1,0.0,46.00016
7,2,0.0,46.00016
7,3,0.0,41.00015
7,4,0.0,41.00012
7,5,0.0,41.00012
7,6,0.0,43.00012
7,7,0.0,50.90012
7,8,0.0,46.00016
7,9,0.0,47.00012
7,10,0.0,41.00015
7,11,0.0,54.00015
7,12,0.0,37.00015
7,13,0.0,38.00015
7,14,0.0,41.00015
7,15,0.0,0.0
1,1,5.753207e-06,28.0
1,2,5.73353e-06,28.0
1,3,7.007601e-06,23.0
1,4,80.51915,-1.822498e-06
1,5,93.98124,0.0
1,6,199.9997,0.0
1,7,265.4999,0.0
1,8,7.008443e-06,23.0
1,9,1.533762e-06,98.99998
1,10,1.026207e-06,143.0
1,11,8.378745e-07,171.0
1,12,8.46802e-07,174.0
